ID,EQUIP_ID,CONNECTIVITYNODE_ID
TMP00049240,TMP00035956,-8425080
TMP00049241,TMP00035957,-8425069
TMP00049242,TMP00035958,-8425068
TMP00049243,TMP00035959,-8425057
TMP00049244,TMP00035960,-8425056
TMP00049245,TMP00035961,-7784364
TMP00049246,TMP00035962,-8424983
TMP00049247,TMP00035963,-8424982
TMP00049248,TMP00035964,-8424957
TMP00049249,TMP00035965,-8424956
TMP00049251,TMP00035967,-7802246
TMP00049252,TMP00035968,-7802245
TMP00049254,TMP00035970,-7792867
TMP00049255,TMP00035971,-7792866
TMP00049256,TMP00035972,-7792865
TMP00049257,TMP00035973,-7792864
TMP00049258,TMP00035974,-8999161
TMP00049259,TMP00035975,-8526904
TMP00049260,TMP00035976,-8424690
TMP00049261,TMP00035977,-7781924
TMP00049262,TMP00035978,-7781922
TMP00049263,TMP00035980,-8999286
TMP00049264,TMP00035981,-8999285
TMP00049265,TMP00035982,-8999284
TMP00049266,TMP00035983,-7781938
TMP00049267,TMP00035984,-8999251
TMP00049268,TMP00035985,-8424667
TMP00049269,TMP00035986,-8496094
TMP00049270,TMP00035987,-8496093
TMP00049271,TMP00035988,-8496092
TMP00049272,TMP00035989,-8496091
TMP00049273,TMP00035991,-8534582
TMP00049274,TMP00035992,-7779342
TMP00049275,TMP00035993,-8534581
TMP00049276,TMP00035994,-7779341
TMP00049277,TMP00035995,-8534580
TMP00049278,TMP00035996,-7779340
TMP00049279,TMP00035997,-8534579
TMP00049280,TMP00035998,-7779339
TMP00049281,TMP00036000,-7779338
TMP00049282,TMP00036001,-8534577
TMP00049283,TMP00036002,-8533774
TMP00049284,TMP00036003,-8533773
TMP00049285,TMP00036004,-8533771
TMP00049287,TMP00036006,-8424659
TMP00049288,TMP00036007,-8533735
TMP00049289,TMP00036008,-8424658
TMP00049290,TMP00036009,-8532165
TMP00049291,TMP00036010,-8424589
TMP00049292,TMP00036011,-8424574
TMP00049293,TMP00036012,-8424573
TMP00049294,TMP00036013,-7783037
TMP00049296,TMP00036015,-7783036
TMP00049297,TMP00036016,-7783040
TMP00049298,TMP00036017,-7783039
TMP00049299,TMP00036018,-7783038
TMP00049300,TMP00036019,-8424592
TMP00049301,TMP00036020,-8424559
TMP00049302,TMP00036021,-7802244
TMP00049303,TMP00036022,-7802243
TMP00049304,TMP00036023,-7802242
TMP00049305,TMP00036024,-7802241
TMP00049306,TMP00036025,-7802240
TMP00049308,TMP00036027,-8506952
TMP00049309,TMP00036028,-8445642
TMP00049311,TMP00036031,-7782658
TMP00049312,TMP00036032,-7782659
TMP00049313,TMP00036033,-8419180
TMP00049314,TMP00036034,-8419179
TMP00049315,TMP00036035,-8507015
TMP00049316,TMP00036036,-8506996
TMP00049317,TMP00036037,-8506989
TMP00049318,TMP00036038,-7688958
TMP00049319,TMP00036039,-8530303
TMP00049320,TMP00036040,-8479157
TMP00049321,TMP00036041,-7785541
TMP00049322,TMP00036043,-8479144
TMP00049324,TMP00036045,-8503526
TMP00049325,TMP00036046,-8419164
TMP00049326,TMP00036047,-8479146
TMP00049327,TMP00036048,-7785554
TMP00049328,TMP00036049,-8419138
TMP00049329,TMP00036050,-8419131
TMP00049330,TMP00036051,-8419123
TMP00049331,TMP00036052,-8419122
TMP00049332,TMP00036053,-8419121
TMP00049333,TMP00036054,-8419120
TMP00049334,TMP00036055,-8419113
TMP00049336,TMP00036057,-7799213
TMP00049337,TMP00036058,-8451828
TMP00049338,TMP00036059,-8451818
TMP00049339,TMP00036060,-8451806
TMP00049341,TMP00036062,-8419095
TMP00049342,TMP00036063,-8419093
TMP00049343,TMP00036064,-8416408
TMP00049346,TMP00036067,-8447680
TMP00049347,TMP00036068,-7799214
TMP00049348,TMP00036069,-8447670
TMP00049349,TMP00036070,-7785342
TMP00049351,TMP00036072,-8447681
TMP00049352,TMP00036073,-7785507
TMP00049353,TMP00036074,-8412463
TMP00049354,TMP00036075,-8412451
TMP00049357,TMP00036078,-8409114
TMP00049358,TMP00036079,-8409107
TMP00049359,TMP00036080,-8409106
TMP00049360,TMP00036081,-7775018
TMP00049361,TMP00036082,-7774998
TMP00049362,TMP00036083,-7774961
TMP00049363,TMP00036084,-7774993
TMP00049364,TMP00036085,-8408778
TMP00049365,TMP00036086,-8408779
TMP00049366,TMP00036087,-8408783
TMP00049367,TMP00036088,-8408781
TMP00049368,TMP00036089,-8408775
TMP00049369,TMP00036090,-7775015
TMP00049370,TMP00036091,-8408871
TMP00049372,TMP00036093,-8408872
TMP00049374,TMP00036095,-8408861
TMP00049375,TMP00036096,-8408850
TMP00049376,TMP00036097,-8408765
TMP00049377,TMP00036098,-7774989
TMP00049378,TMP00036099,-8408777
TMP00049379,TMP00036100,-7775030
TMP00049380,TMP00036101,-7775031
TMP00049381,TMP00036102,-8408785
TMP00049382,TMP00036103,-7775024
TMP00049383,TMP00036104,-7775032
TMP00049384,TMP00036105,-8408766
TMP00049385,TMP00036106,-8408825
TMP00049386,TMP00036107,-8408824
TMP00049387,TMP00036108,-7775039
TMP00049388,TMP00036109,-8409046
TMP00049390,TMP00036111,-8409044
TMP00049391,TMP00036112,-8408956
TMP00049392,TMP00036113,-8408949
TMP00049393,TMP00036114,-8533910
TMP00049394,TMP00036115,-8531028
TMP00049395,TMP00036116,-8425353
TMP00049396,TMP00036118,-8425345
TMP00049397,TMP00036119,-8425344
TMP00049398,TMP00036120,-8407262
TMP00049400,TMP00036122,-7624752
TMP00049402,TMP00036125,-8156147
TMP00049403,TMP00036126,-8391138
TMP00049404,TMP00036127,-8391131
TMP00049405,TMP00036128,-8391130
TMP00049406,TMP00036129,-8391129
TMP00049407,TMP00036130,-8391122
TMP00049408,TMP00036131,-8391121
TMP00049409,TMP00036132,-8391105
TMP00049410,TMP00036133,-8391104
TMP00049411,TMP00036134,-8391092
TMP00049412,TMP00036135,-8391091
TMP00049413,TMP00036136,-8391079
TMP00049414,TMP00036137,-8391078
TMP00049415,TMP00036138,-8391069
TMP00049416,TMP00036139,-8391068
TMP00049417,TMP00036140,-8391067
TMP00049418,TMP00036141,-8391066
TMP00049419,TMP00036142,-8391065
TMP00049420,TMP00036143,-8391064
TMP00049421,TMP00036144,-8391063
TMP00049422,TMP00036145,-8391056
TMP00049423,TMP00036146,-8391055
TMP00049425,TMP00036148,-8391047
TMP00049426,TMP00036149,-8391031
TMP00049427,TMP00036150,-8391030
TMP00049428,TMP00036151,-8391022
TMP00049429,TMP00036152,-8391021
TMP00049431,TMP00036154,-8391012
TMP00049432,TMP00036155,-8391000
TMP00049433,TMP00036156,-8390999
TMP00049434,TMP00036157,-8390987
