component,设备数量,非末端数量,馈线数量,馈线,power_source,feeder_trace
450,1,1,1,TMP00000036,True,True
453,1,1,1,TMP00000009,True,True
454,1,1,1,TMP00000140,False,False
456,7,7,1,TMP00000036,True,True
457,60,60,1,TMP00000015,True,True
464,1,1,1,TMP00000012,False,False
468,1,1,1,TMP00000188,False,True
470,1,1,1,TMP00000140,False,False
478,1,1,1,TMP00000122,False,False
483,1,1,1,TMP00000090,True,True
485,40,32,1,TMP00000124,True,True
487,3,3,1,TMP00000160,True,True
491,5,5,1,TMP00000016,True,True
492,1,1,1,TMP00000093,True,True
497,4,4,1,TMP00000150,False,False
499,1,1,1,TMP00000035,False,False
500,1,1,1,TMP00000054,True,True
513,2,1,1,TMP00000050,True,True
524,17,17,1,TMP00000183,True,True
538,13,9,1,TMP00000140,False,False
545,22,21,1,TMP00000110,False,False
546,1,1,1,TMP00000162,True,True
549,8,8,1,TMP00000169,False,False
554,1,1,1,TMP00000027,True,True
560,7,7,1,TMP00000091,True,True
562,1,1,1,TMP00000055,True,True
573,18,16,1,TMP00000104,True,True
576,1,1,1,TMP00000122,False,False
580,1,1,1,TMP00000013,True,True
586,1,1,1,TMP00000098,False,False
596,2,1,1,TMP00000103,True,True
600,2,2,1,TMP00000018,True,True
603,1,1,1,TMP00000035,False,False
607,1,1,1,TMP00000118,True,True
608,1,1,1,TMP00000102,True,True
621,1,1,1,TMP00000092,True,True
623,1,1,1,TMP00000125,True,True
624,1,1,1,TMP00000140,False,False
626,7,6,1,TMP00000040,True,True
636,5,5,1,TMP00000076,True,True
638,1,1,1,TMP00000142,True,True
639,8,7,1,TMP00000091,True,True
652,8,6,1,TMP00000055,True,True
654,1,1,1,TMP00000013,True,True
660,3,3,1,TMP00000148,False,False
666,1,1,1,TMP00000086,True,True
667,1,1,1,TMP00000089,True,True
671,1,1,1,TMP00000133,True,True
676,1,1,1,TMP00000138,True,True
677,1,1,1,TMP00000092,True,True
681,1,1,1,TMP00000021,True,True
683,1,1,1,TMP00000086,True,True
688,7,7,1,TMP00000085,True,True
703,15,11,1,TMP00000176,False,True
704,1,1,1,TMP00000036,True,True
709,1,1,1,TMP00000146,False,True
710,1,1,1,TMP00000090,True,True
711,22,22,1,TMP00000147,True,True
712,1,1,1,TMP00000013,True,True
713,1,1,1,TMP00000076,True,True
715,4,4,1,TMP00000046,True,True
716,17,15,1,TMP00000160,True,True
726,1,1,1,TMP00000027,True,True
733,2,1,1,TMP00000025,True,True
740,1,1,1,TMP00000140,False,False
741,1,1,1,TMP00000170,False,True
743,1,1,1,TMP00000121,True,True
755,20,20,1,TMP00000175,True,True
757,1,1,1,TMP00000188,False,True
763,2,1,1,TMP00000181,True,True
767,1,1,1,TMP00000009,True,True
779,8,8,1,TMP00000125,True,True
787,27,25,1,TMP00000099,True,True
789,1,1,1,TMP00000043,True,True
790,1,1,1,TMP00000013,True,True
797,20,16,1,TMP00000091,True,True
805,1,1,1,TMP00000138,True,True
812,1,1,1,TMP00000188,False,True
814,6,6,1,TMP00000082,True,True
825,1,1,1,TMP00000118,True,True
831,1,1,1,TMP00000093,True,True
840,16,16,1,TMP00000023,False,False
841,1,1,1,TMP00000167,False,True
848,1,1,1,TMP00000043,True,True
849,1,1,1,TMP00000089,True,True
857,1,1,1,TMP00000097,False,True
861,5,5,1,TMP00000027,True,True
866,1,1,1,TMP00000140,False,False
870,1,1,1,TMP00000047,True,True
875,1,1,1,TMP00000148,False,False
878,11,10,1,TMP00000188,False,True
889,1,1,1,TMP00000114,False,False
891,1,1,1,TMP00000116,True,True
893,8,8,1,TMP00000135,False,False
