component,设备数量,非末端数量,馈线数量,馈线,power_source,feeder_trace
4570,1,1,1,TMP00000087,False,True
4574,1,1,1,TMP00000140,False,False
4578,1,1,1,TMP00000188,False,True
4582,1,1,1,TMP00000093,True,True
4603,1,1,1,TMP00000070,True,True
4608,1,1,1,TMP00000125,True,True
4610,1,1,1,TMP00000070,True,True
4619,1,1,1,TMP00000027,True,True
4631,1,1,1,TMP00000092,True,True
4652,1,1,1,TMP00000128,True,True
4655,1,1,1,TMP00000162,True,True
4656,1,1,1,TMP00000140,False,False
4679,1,1,1,TMP00000188,False,True
4688,1,1,1,TMP00000043,True,True
4696,1,1,1,TMP00000162,True,True
4699,1,1,1,TMP00000188,False,True
4774,1,1,1,TMP00000140,False,False
4775,3,2,1,TMP00000003,True,True
4799,1,1,1,TMP00000044,True,True
4800,1,1,1,TMP00000013,True,True
4802,5,5,1,TMP00000125,True,True
4822,1,1,1,TMP00000076,True,True
4839,1,1,1,TMP00000138,True,True
4841,1,1,1,TMP00000122,False,False
4848,1,1,1,TMP00000089,True,True
4863,1,1,1,TMP00000012,False,False
4882,1,1,1,TMP00000052,True,True
4886,1,1,1,TMP00000013,True,True
4907,1,1,1,TMP00000056,True,True
4910,1,1,1,TMP00000043,True,True
4917,1,1,1,TMP00000133,True,True
4925,1,1,1,TMP00000111,False,False
4932,1,1,1,TMP00000047,True,True
4935,1,1,1,TMP00000043,True,True
4956,1,1,1,TMP00000013,True,True
4957,1,1,1,TMP00000092,True,True
4958,1,1,1,TMP00000167,False,True
4971,1,1,1,TMP00000188,False,True
4973,2,1,1,TMP00000023,False,False
4981,1,1,1,TMP00000063,True,True
4986,1,1,1,TMP00000005,True,True
4996,1,1,1,TMP00000054,True,True
5039,1,1,1,TMP00000138,True,True
5055,1,1,1,TMP00000130,False,False
5059,4,3,1,TMP00000124,True,True
5068,1,1,1,TMP00000015,True,True
5074,1,1,1,TMP00000042,True,True
5085,1,1,1,TMP00000030,False,False
5103,2,2,1,TMP00000136,True,True
5104,1,1,1,TMP00000140,False,False
5120,1,1,1,TMP00000111,False,False
5128,1,1,1,TMP00000013,True,True
5146,1,1,1,TMP00000013,True,True
5150,1,1,1,TMP00000140,False,False
5155,1,1,1,TMP00000027,True,True
5158,1,1,1,TMP00000138,True,True
5170,1,1,1,TMP00000140,False,False
5180,1,1,1,TMP00000093,True,True
5185,1,1,1,TMP00000051,True,True
5187,1,1,1,TMP00000013,True,True
5190,1,1,1,TMP00000143,False,False
5193,1,1,1,TMP00000140,False,False
5195,1,1,1,TMP00000086,True,True
5200,1,1,1,TMP00000080,False,True
5204,1,1,1,TMP00000188,False,True
5221,1,1,1,TMP00000114,False,False
5227,1,1,1,TMP00000005,True,True
5237,1,1,1,TMP00000070,True,True
5242,1,1,1,TMP00000088,True,True
5243,1,1,1,TMP00000102,True,True
5264,1,1,1,TMP00000086,True,True
5267,1,1,1,TMP00000116,True,True
5276,1,1,1,TMP00000140,False,False
5286,1,1,1,TMP00000140,False,False
5290,3,3,1,TMP00000160,True,True
5293,1,1,1,TMP00000027,True,True
5294,1,1,1,TMP00000188,False,True
5296,1,1,1,TMP00000079,False,True
5313,1,1,1,TMP00000140,False,False
5321,1,1,1,TMP00000070,True,True
5330,1,1,1,TMP00000013,True,True
5335,1,1,1,TMP00000188,False,True
5338,1,1,1,TMP00000076,True,True
5340,2,2,1,TMP00000018,True,True
5343,1,1,1,TMP00000044,True,True
5352,1,1,1,TMP00000015,True,True
5359,1,1,1,TMP00000027,True,True
5370,1,1,1,TMP00000043,True,True
5373,1,1,1,TMP00000013,True,True
5383,1,1,1,TMP00000138,True,True
5389,1,1,1,TMP00000126,True,True
5404,1,1,1,TMP00000036,True,True
5408,1,1,1,TMP00000063,True,True
5420,1,1,1,TMP00000162,True,True
5434,1,1,1,TMP00000143,False,False
5435,1,1,1,TMP00000076,True,True
5436,1,1,1,TMP00000047,True,True
5440,3,3,1,TMP00000026,True,True
5441,1,1,1,TMP00000008,True,True
5462,1,1,1,TMP00000027,True,True
5465,1,1,1,TMP00000089,True,True
5472,1,1,1,TMP00000013,True,True
5477,1,1,1,TMP00000054,True,True
5492,1,1,1,TMP00000140,False,False
5499,1,1,1,TMP00000188,False,True
5509,1,1,1,TMP00000013,True,True
5514,1,1,1,TMP00000188,False,True
5522,1,1,1,TMP00000076,True,True
5537,1,1,1,TMP00000129,True,True
5550,2,1,1,TMP00000111,False,False
5579,1,1,1,TMP00000044,True,True
5587,1,1,1,TMP00000070,True,True
5596,1,1,1,TMP00000027,True,True
5599,1,1,1,TMP00000027,True,True
5602,1,1,1,TMP00000189,False,True
5610,1,1,1,TMP00000140,False,False
5623,1,1,1,TMP00000114,False,False
5637,1,1,1,TMP00000070,True,True
5642,1,1,1,TMP00000043,True,True
5675,1,1,1,TMP00000125,True,True
5677,1,1,1,TMP00000175,True,True
5689,1,1,1,TMP00000140,False,False
5690,1,1,1,TMP00000121,True,True
5698,1,1,1,TMP00000012,False,False
5700,1,1,1,TMP00000122,False,False
5714,1,1,1,TMP00000140,False,False
5742,1,1,1,TMP00000040,True,True
5745,1,1,1,TMP00000125,True,True
5752,1,1,1,TMP00000008,True,True
5773,1,1,1,TMP00000140,False,False
5775,1,1,1,TMP00000112,False,False
5776,1,1,1,TMP00000044,True,True
5788,1,1,1,TMP00000002,True,True
5807,1,1,1,TMP00000043,True,True
5812,1,1,1,TMP00000002,True,True
5817,1,1,1,TMP00000009,True,True
5822,1,1,1,TMP00000121,True,True
5824,1,1,1,TMP00000140,False,False
5825,1,1,1,TMP00000140,False,False
5861,1,1,1,TMP00000023,False,False
5869,1,1,1,TMP00000133,True,True
5880,1,1,1,TMP00000081,True,True
5908,1,1,1,TMP00000043,True,True
5917,1,1,1,TMP00000021,True,True
5935,1,1,1,TMP00000071,True,True
5963,2,1,1,TMP00000124,True,True
5972,1,1,1,TMP00000118,True,True
6001,1,1,1,TMP00000009,True,True
6004,1,1,1,TMP00000140,False,False
6020,1,1,1,TMP00000076,True,True
6026,1,1,1,TMP00000140,False,False
6032,1,1,1,TMP00000188,False,True
6034,1,1,1,TMP00000013,True,True
6059,1,1,1,TMP00000146,False,True
6060,1,1,1,TMP00000050,True,True
6066,1,1,1,TMP00000140,False,False
6081,1,1,1,TMP00000140,False,False
6083,1,1,1,TMP00000043,True,True
6119,1,1,1,TMP00000133,True,True
6127,1,1,1,TMP00000080,False,True
6155,1,1,1,TMP00000102,True,True
6164,1,1,1,TMP00000107,False,False
6179,1,1,1,TMP00000140,False,False
6185,1,1,1,TMP00000140,False,False
6198,1,1,1,TMP00000140,False,False
6212,1,1,1,TMP00000125,True,True
6214,1,1,1,TMP00000013,True,True
6220,1,1,1,TMP00000140,False,False
6223,1,1,1,TMP00000079,False,True
6224,1,1,1,TMP00000052,True,True
6234,1,1,1,TMP00000089,True,True
6240,1,1,1,TMP00000140,False,False
6242,1,1,1,TMP00000140,False,False
6251,1,1,1,TMP00000092,True,True
6278,1,1,1,TMP00000027,True,True
6285,1,1,1,TMP00000043,True,True
6286,1,1,1,TMP00000026,True,True
6299,1,1,1,TMP00000130,False,False
6307,1,1,1,TMP00000122,False,False
6308,1,1,1,TMP00000140,False,False
6310,1,1,1,TMP00000027,True,True
6341,1,1,1,TMP00000076,True,True
6361,1,1,1,TMP00000026,True,True
6385,1,1,1,TMP00000119,True,True
6387,1,1,1,TMP00000140,False,False
6390,1,1,1,TMP00000140,False,False
6398,1,1,1,TMP00000102,True,True
6400,1,1,1,TMP00000027,True,True
6408,1,1,1,TMP00000089,True,True
6429,1,1,1,TMP00000125,True,True
6437,1,1,1,TMP00000167,False,True
6440,1,1,1,TMP00000098,False,False
6458,1,1,1,TMP00000044,True,True
6473,1,1,1,TMP00000013,True,True
6489,1,1,1,TMP00000093,True,True
6491,1,1,1,TMP00000132,False,False
6493,1,1,1,TMP00000076,True,True
6498,7,7,1,TMP00000097,False,True
6500,1,1,1,TMP00000052,True,True
6504,1,1,1,TMP00000118,True,True
6507,1,1,1,TMP00000082,True,True
6509,1,1,1,TMP00000140,False,False
6512,1,1,1,TMP00000093,True,True
6524,1,1,1,TMP00000188,False,True
6532,1,1,1,TMP00000140,False,False
6533,1,1,1,TMP00000140,False,False
6538,1,1,1,TMP00000188,False,True
6540,1,1,1,TMP00000013,True,True
6541,1,1,1,TMP00000122,False,False
6548,1,1,1,TMP00000062,True,True
6549,1,1,1,TMP00000140,False,False
6552,1,1,1,TMP00000036,True,True
6559,1,1,1,TMP00000140,False,False
6585,1,1,1,TMP00000076,True,True
6591,1,1,1,TMP00000140,False,False
6600,1,1,1,TMP00000130,False,False
6609,1,1,1,TMP00000167,False,True
6631,1,1,1,TMP00000175,True,True
6647,1,1,1,TMP00000014,True,True
6679,1,1,1,TMP00000055,True,True
6680,1,1,1,TMP00000098,False,False
6681,1,1,1,TMP00000140,False,False
6688,1,1,1,TMP00000002,True,True
6691,1,1,1,TMP00000168,True,True
6700,1,1,1,TMP00000088,True,True
6722,1,1,1,TMP00000114,False,False
6727,1,1,1,TMP00000054,True,True
6740,1,1,1,TMP00000054,True,True
6741,1,1,1,TMP00000013,True,True
6751,1,1,1,TMP00000167,False,True
6762,1,1,1,TMP00000089,True,True
6768,1,1,1,TMP00000122,False,False
6784,1,1,1,TMP00000044,True,True
6788,1,1,1,TMP00000076,True,True
6791,1,1,1,TMP00000013,True,True
6805,1,1,1,TMP00000140,False,False
6807,1,1,1,TMP00000095,False,True
6808,1,1,1,TMP00000188,False,True
6821,2,1,1,TMP00000128,True,True
6827,1,1,1,TMP00000027,True,True
6834,1,1,1,TMP00000140,False,False
6835,1,1,1,TMP00000175,True,True
6842,1,1,1,TMP00000140,False,False
6844,1,1,1,TMP00000188,False,True
6853,2,1,1,TMP00000110,False,False
6873,1,1,1,TMP00000090,True,True
6876,1,1,1,TMP00000140,False,False
6881,1,1,1,TMP00000023,False,False
6885,1,1,1,TMP00000012,False,False
6893,1,1,1,TMP00000043,True,True
6900,1,1,1,TMP00000140,False,False
6901,1,1,1,TMP00000140,False,False
6916,1,1,1,TMP00000009,True,True
6918,1,1,1,TMP00000092,True,True
6919,1,1,1,TMP00000070,True,True
6927,1,1,1,TMP00000030,False,False
6949,1,1,1,TMP00000188,False,True
6966,1,1,1,TMP00000107,False,False
6985,1,1,1,TMP00000076,True,True
6987,1,1,1,TMP00000145,True,True
6999,1,1,1,TMP00000140,False,False
7001,1,1,1,TMP00000079,False,True
7012,1,1,1,TMP00000098,False,False
7050,1,1,1,TMP00000102,True,True
7055,1,1,1,TMP00000188,False,True
7066,1,1,1,TMP00000167,False,True
7069,1,1,1,TMP00000149,True,True
7073,1,1,1,TMP00000027,True,True
7074,1,1,1,TMP00000119,True,True
7084,1,1,1,TMP00000017,True,True
7092,1,1,1,TMP00000043,True,True
7099,1,1,1,TMP00000089,True,True
7106,1,1,1,TMP00000093,True,True
7110,1,1,1,TMP00000140,False,False
7128,1,1,1,TMP00000044,True,True
7168,1,1,1,TMP00000092,True,True
7175,1,1,1,TMP00000140,False,False
7176,1,1,1,TMP00000015,True,True
7183,1,1,1,TMP00000019,True,True
7187,1,1,1,TMP00000027,True,True
7194,1,1,1,TMP00000079,False,True
7215,1,1,1,TMP00000168,True,True
7230,1,1,1,TMP00000013,True,True
7260,1,1,1,TMP00000189,False,True
7282,1,1,1,TMP00000008,True,True
7299,1,1,1,TMP00000012,False,False
7306,1,1,1,TMP00000052,True,True
7311,1,1,1,TMP00000168,True,True
7340,1,1,1,TMP00000027,True,True
7355,1,1,1,TMP00000076,True,True
7380,1,1,1,TMP00000118,True,True
7399,1,1,1,TMP00000140,False,False
7400,1,1,1,TMP00000081,True,True
7401,1,1,1,TMP00000140,False,False
7405,2,1,1,TMP00000111,False,False
7413,1,1,1,TMP00000140,False,False
7439,1,1,1,TMP00000079,False,True
7445,1,1,1,TMP00000119,True,True
7459,1,1,1,TMP00000043,True,True
7488,1,1,1,TMP00000014,True,True
7498,1,1,1,TMP00000009,True,True
7500,1,1,1,TMP00000188,False,True
7516,1,1,1,TMP00000080,False,True
7521,1,1,1,TMP00000009,True,True
7524,1,1,1,TMP00000129,True,True
7539,1,1,1,TMP00000043,True,True
7542,1,1,1,TMP00000146,False,True
7548,1,1,1,TMP00000027,True,True
7568,1,1,1,TMP00000070,True,True
7572,1,1,1,TMP00000013,True,True
7576,1,1,1,TMP00000076,True,True
7578,1,1,1,TMP00000013,True,True
7583,1,1,1,TMP00000092,True,True
7607,1,1,1,TMP00000043,True,True
7618,1,1,1,TMP00000042,True,True
7630,1,1,1,TMP00000132,False,False
7640,1,1,1,TMP00000009,True,True
7655,1,1,1,TMP00000094,True,True
7662,1,1,1,TMP00000137,True,True
7672,1,1,1,TMP00000140,False,False
7673,1,1,1,TMP00000140,False,False
7683,1,1,1,TMP00000076,True,True
7694,1,1,1,TMP00000102,True,True
7697,1,1,1,TMP00000052,True,True
7698,1,1,1,TMP00000013,True,True
7704,1,1,1,TMP00000001,True,True
7706,1,1,1,TMP00000188,False,True
7726,1,1,1,TMP00000089,True,True
7740,1,1,1,TMP00000140,False,False
7756,1,1,1,TMP00000093,True,True
7766,1,1,1,TMP00000044,True,True
7778,1,1,1,TMP00000038,True,True
7787,1,1,1,TMP00000140,False,False
7790,1,1,1,TMP00000009,True,True
7813,1,1,1,TMP00000079,False,True
7861,1,1,1,TMP00000013,True,True
7866,1,1,1,TMP00000188,False,True
7871,1,1,1,TMP00000009,True,True
7881,1,1,1,TMP00000140,False,False
7887,1,1,1,TMP00000038,True,True
7908,1,1,1,TMP00000139,True,True
7909,1,1,1,TMP00000118,True,True
7915,1,1,1,TMP00000011,True,True
7918,1,1,1,TMP00000140,False,False
7933,1,1,1,TMP00000162,True,True
7949,1,1,1,TMP00000012,False,False
7951,1,1,1,TMP00000043,True,True
7962,1,1,1,TMP00000070,True,True
7976,1,1,1,TMP00000133,True,True
7987,1,1,1,TMP00000140,False,False
7992,1,1,1,TMP00000133,True,True
7996,1,1,1,TMP00000036,True,True
8000,1,1,1,TMP00000013,True,True
8006,1,1,1,TMP00000101,True,True
8012,1,1,1,TMP00000140,False,False
8014,1,1,1,TMP00000036,True,True
8023,1,1,1,TMP00000140,False,False
8025,1,1,1,TMP00000122,False,False
8034,1,1,1,TMP00000118,True,True
8038,1,1,1,TMP00000027,True,True
8041,1,1,1,TMP00000013,True,True
8045,1,1,1,TMP00000095,False,True
8064,1,1,1,TMP00000140,False,False
8071,1,1,1,TMP00000071,True,True
8077,1,1,1,TMP00000013,True,True
8082,1,1,1,TMP00000013,True,True
8087,1,1,1,TMP00000188,False,True
8091,1,1,1,TMP00000140,False,False
8092,1,1,1,TMP00000089,True,True
8115,1,1,1,TMP00000140,False,False
8118,1,1,1,TMP00000071,True,True
8123,1,1,1,TMP00000043,True,True
8124,1,1,1,TMP00000023,False,False
8139,1,1,1,TMP00000056,True,True
8186,1,1,1,TMP00000068,True,True
8199,1,1,1,TMP00000013,True,True
8208,1,1,1,TMP00000140,False,False
8248,1,1,1,TMP00000036,True,True
8253,1,1,1,TMP00000086,True,True
8254,1,1,1,TMP00000102,True,True
8259,1,1,1,TMP00000012,False,False
8260,1,1,1,TMP00000012,False,False
8261,1,1,1,TMP00000146,False,True
8263,1,1,1,TMP00000093,True,True
8273,1,1,1,TMP00000030,False,False
8285,1,1,1,TMP00000086,True,True
8288,1,1,1,TMP00000012,False,False
8290,1,1,1,TMP00000188,False,True
8293,1,1,1,TMP00000013,True,True
8301,1,1,1,TMP00000133,True,True
8313,1,1,1,TMP00000140,False,False
8318,1,1,1,TMP00000027,True,True
8323,1,1,1,TMP00000179,True,True
8324,1,1,1,TMP00000013,True,True
8328,1,1,1,TMP00000026,True,True
8338,1,1,1,TMP00000044,True,True
8347,1,1,1,TMP00000101,True,True
8363,1,1,1,TMP00000096,False,False
8366,1,1,1,TMP00000096,False,False
8375,1,1,1,TMP00000043,True,True
8377,1,1,1,TMP00000140,False,False
8381,1,1,1,TMP00000146,False,True
8396,2,1,1,TMP00000111,False,False
8398,1,1,1,TMP00000162,True,True
8409,1,1,1,TMP00000063,True,True
8413,1,1,1,TMP00000036,True,True
8414,1,1,1,TMP00000062,True,True
8415,1,1,1,TMP00000146,False,True
8419,1,1,1,TMP00000095,False,True
8423,1,1,1,TMP00000038,True,True
8439,1,1,1,TMP00000167,False,True
8444,1,1,1,TMP00000009,True,True
8461,1,1,1,TMP00000093,True,True
8467,1,1,1,TMP00000140,False,False
8474,1,1,1,TMP00000119,True,True
8486,1,1,1,TMP00000140,False,False
8512,1,1,1,TMP00000070,True,True
8547,1,1,1,TMP00000090,True,True
8552,1,1,1,TMP00000090,True,True
8554,1,1,1,TMP00000188,False,True
8556,1,1,1,TMP00000140,False,False
8566,1,1,1,TMP00000123,False,True
8569,1,1,1,TMP00000054,True,True
8573,1,1,1,TMP00000188,False,True
8585,1,1,1,TMP00000095,False,True
8602,1,1,1,TMP00000089,True,True
8617,1,1,1,TMP00000031,False,False
8640,1,1,1,TMP00000063,True,True
8642,1,1,1,TMP00000087,False,True
8643,1,1,1,TMP00000102,True,True
8649,1,1,1,TMP00000030,False,False
8651,1,1,1,TMP00000076,True,True
8670,1,1,1,TMP00000076,True,True
8678,1,1,1,TMP00000122,False,False
8707,1,1,1,TMP00000188,False,True
8713,1,1,1,TMP00000013,True,True
8718,1,1,1,TMP00000101,True,True
8731,1,1,1,TMP00000188,False,True
8739,1,1,1,TMP00000090,True,True
8758,1,1,1,TMP00000143,False,False
8759,1,1,1,TMP00000093,True,True
8761,1,1,1,TMP00000133,True,True
8782,1,1,1,TMP00000140,False,False
8793,1,1,1,TMP00000027,True,True
8795,1,1,1,TMP00000013,True,True
8796,1,1,1,TMP00000079,False,True
8808,1,1,1,TMP00000129,True,True
8812,1,1,1,TMP00000023,False,False
8832,1,1,1,TMP00000140,False,False
8841,1,1,1,TMP00000140,False,False
8843,1,1,1,TMP00000088,True,True
8855,1,1,1,TMP00000140,False,False
8856,1,1,1,TMP00000140,False,False
8858,1,1,1,TMP00000107,False,False
8865,1,1,1,TMP00000044,True,True
8879,1,1,1,TMP00000063,True,True
8884,1,1,1,TMP00000140,False,False
8893,1,1,1,TMP00000038,True,True
8934,1,1,1,TMP00000036,True,True
8977,1,1,1,TMP00000121,True,True
9000,1,1,1,TMP00000063,True,True
9001,2,1,1,TMP00000111,False,False
9005,1,1,1,TMP00000004,True,True
9007,1,1,1,TMP00000043,True,True
9009,1,1,1,TMP00000076,True,True
9013,1,1,1,TMP00000140,False,False
9016,1,1,1,TMP00000092,True,True
9023,1,1,1,TMP00000098,False,False
9025,1,1,1,TMP00000002,True,True
9046,1,1,1,TMP00000036,True,True
9048,1,1,1,TMP00000102,True,True
9050,1,1,1,TMP00000027,True,True
9053,1,1,1,TMP00000017,True,True
9081,1,1,1,TMP00000126,True,True
9082,1,1,1,TMP00000167,False,True
9090,1,1,1,TMP00000118,True,True
9091,1,1,1,TMP00000102,True,True
9093,2,1,1,TMP00000181,True,True
9103,1,1,1,TMP00000133,True,True
9128,1,1,1,TMP00000188,False,True
9133,1,1,1,TMP00000044,True,True
9152,1,1,1,TMP00000027,True,True
9155,1,1,1,TMP00000119,True,True
9158,1,1,1,TMP00000140,False,False
9170,1,1,1,TMP00000013,True,True
9173,1,1,1,TMP00000043,True,True
9211,1,1,1,TMP00000133,True,True
9224,1,1,1,TMP00000140,False,False
9240,1,1,1,TMP00000036,True,True
9241,1,1,1,TMP00000140,False,False
9242,1,1,1,TMP00000092,True,True
9264,1,1,1,TMP00000026,True,True
9266,1,1,1,TMP00000002,True,True
9276,1,1,1,TMP00000071,True,True
9283,1,1,1,TMP00000079,False,True
9284,1,1,1,TMP00000140,False,False
9302,1,1,1,TMP00000070,True,True
9305,1,1,1,TMP00000012,False,False
9313,1,1,1,TMP00000070,True,True
9347,1,1,1,TMP00000079,False,True
9351,1,1,1,TMP00000027,True,True
9363,1,1,1,TMP00000043,True,True
9396,1,1,1,TMP00000043,True,True
9398,1,1,1,TMP00000019,True,True
9407,1,1,1,TMP00000140,False,False
9422,1,1,1,TMP00000140,False,False
9423,1,1,1,TMP00000027,True,True
9442,1,1,1,TMP00000042,True,True
9445,1,1,1,TMP00000103,True,True
9452,1,1,1,TMP00000013,True,True
9454,1,1,1,TMP00000140,False,False
9474,1,1,1,TMP00000140,False,False
9483,1,1,1,TMP00000140,False,False
9485,1,1,1,TMP00000130,False,False
9486,1,1,1,TMP00000013,True,True
9492,1,1,1,TMP00000095,False,True
9498,1,1,1,TMP00000140,False,False
9500,1,1,1,TMP00000002,True,True
9501,1,1,1,TMP00000089,True,True
9511,1,1,1,TMP00000169,False,False
9524,1,1,1,TMP00000140,False,False
9531,1,1,1,TMP00000044,True,True
9532,1,1,1,TMP00000167,False,True
9534,1,1,1,TMP00000169,False,False
9562,1,1,1,TMP00000111,False,False
9619,1,1,1,TMP00000006,True,True
9624,1,1,1,TMP00000140,False,False
9627,1,1,1,TMP00000023,False,False
9629,1,1,1,TMP00000114,False,False
9639,1,1,1,TMP00000036,True,True
9641,1,1,1,TMP00000008,True,True
9643,1,1,1,TMP00000086,True,True
9648,1,1,1,TMP00000140,False,False
9650,1,1,1,TMP00000116,True,True
9656,1,1,1,TMP00000054,True,True
9671,1,1,1,TMP00000167,False,True
9677,1,1,1,TMP00000052,True,True
9690,1,1,1,TMP00000088,True,True
9693,1,1,1,TMP00000013,True,True
9706,1,1,1,TMP00000044,True,True
9708,1,1,1,TMP00000043,True,True
9725,1,1,1,TMP00000101,True,True
9728,1,1,1,TMP00000160,True,True
9729,1,1,1,TMP00000118,True,True
9736,1,1,1,TMP00000102,True,True
9747,1,1,1,TMP00000093,True,True
9775,1,1,1,TMP00000169,False,False
9780,1,1,1,TMP00000076,True,True
9782,1,1,1,TMP00000089,True,True
9788,1,1,1,TMP00000071,True,True
9808,1,1,1,TMP00000140,False,False
9836,1,1,1,TMP00000118,True,True
9846,1,1,1,TMP00000140,False,False
9847,1,1,1,TMP00000140,False,False
9852,1,1,1,TMP00000013,True,True
9855,1,1,1,TMP00000140,False,False
9873,1,1,1,TMP00000140,False,False
9891,1,1,1,TMP00000070,True,True
9896,1,1,1,TMP00000140,False,False
9910,1,1,1,TMP00000050,True,True
9922,1,1,1,TMP00000013,True,True
9929,1,1,1,TMP00000128,True,True
9938,1,1,1,TMP00000013,True,True
9955,1,1,1,TMP00000043,True,True
9957,1,1,1,TMP00000090,True,True
9982,1,1,1,TMP00000043,True,True
9991,1,1,1,TMP00000076,True,True
9996,1,1,1,TMP00000118,True,True
10003,1,1,1,TMP00000138,True,True
10004,1,1,1,TMP00000093,True,True
10006,1,1,1,TMP00000081,True,True
10029,1,1,1,TMP00000009,True,True
10037,1,1,1,TMP00000140,False,False
10038,1,1,1,TMP00000128,True,True
10040,1,1,1,TMP00000140,False,False
10041,1,1,1,TMP00000086,True,True
10080,1,1,1,TMP00000138,True,True
10090,1,1,1,TMP00000140,False,False
10091,1,1,1,TMP00000118,True,True
10117,1,1,1,TMP00000140,False,False
10122,1,1,1,TMP00000001,True,True
10127,1,1,1,TMP00000104,True,True
10153,1,1,1,TMP00000079,False,True
10160,1,1,1,TMP00000098,False,False
10180,1,1,1,TMP00000138,True,True
10194,1,1,1,TMP00000140,False,False
10198,1,1,1,TMP00000138,True,True
10217,1,1,1,TMP00000140,False,False
10228,1,1,1,TMP00000013,True,True
10230,1,1,1,TMP00000175,True,True
10239,1,1,1,TMP00000086,True,True
10243,1,1,1,TMP00000140,False,False
